Name
AGILENT TECHNOLOGIES
AKZO NOBEL
AKZO NOBEL
ALCATEL
ALCATEL
ALCATEL
CANON EUROPA
CANON EUROPA
CANON EUROPA
DSM
DSM
BROCADES GIST
GLOBAL HITACHI NETHERLANDS STORAGE TECHNOLOGIES
DOUGLAS HUNTER INDS
DOUGLAS HUNTER INDS
DOUGLAS HUNTER INDS
DOUGLAS HUNTER INDS
DOUGLAS HUNTER INDS
DOUGLAS HUNTER INDS
DOUGLAS HUNTER INDS
ELECTRONICS KONINK PHILIPS
ELECTRONICS KONINK PHILIPS
METTLER TOLEDO
MOTOROLA
GLOEILAMPENFAB PHILIPS
GLOEILAMPENFAB PHILIPS
GLOEILAMPENFAB PHILIPS
NUTRICIA
GLOEILAMPENFAB PHILIPS
GLOEILAMPENFAB PHILIPS
GLOEILAMPENFAB PHILIPS
GLOEILAMPENFAB PHILIPS
EURO OMRON
ELECTRONICS PHILIPS
ELECTRONICS PHILIPS
LEEDE SARA
SCHLUMBERGER
SCHLUMBERGER TECHNOLOGY
INTERNAT MAATSCHHAPPIJ RES SHELL
INTERNAT MAATSCHHAPPIJ RES SHELL
INTERNAT MIJ RES SHELL
INTERNAT MIJ RES SHELL
INTERNAT MIJ RES SHELL
INTERNAT MIJ RES SHELL
INTERNAT MIJ RES SHELL
STMICROELECTRONICS
SKF
ABB
ABB
ABB
ABB V
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS INTERNAT MARKETING
ADIDAS AMSTERDAM INTERNAT MARKETING V
ADIDAS INTERNATL MARKETING
ADIDAS IUMLAUT MARKETING NTERNAT OVER
AIR CHEM PRODS
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
V AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL V
AKZO NOBEL V
AKZO NOBEL V
AKZO NOBEL V
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO NOBEL
AKZO ARNHEIMARNHEM NOBEL V
AKZO ARNHEIMARNHEM NL NOBEL V
AKZO ARNHEM NOBEL V
AKZO ARNHEM NOBEL
AKZO NAAMLOOZE NOBEL VENNOOTSCHAP
AKZO NOBEL
AKZO NOBLE
AKZO NOBLE
AKZO NOBLE
AKZO NOVEL
AKZO NOVEL
AKZO NOVEL
AKZO NOVEL
AKZO NOVEL
AKZO NOVEL
AKZO NOBEL
AKZO NOBEL
ALCATEL
ALCATEL
ALCATEL V
ALCATEL V
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL V
ALCATEL V
ALCATEL V
ALCATEL V
ALCATEL V
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL
ALCATEL AMSTERDAM V
ALCATEL V
ALCATEL RIJSWIJK V
ALCATEL V
ALCATEL VNL
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALCOA NEDERLAND
ALKATEL
ALKATEL
ALSTOM
AMP HOLLAND
AMP HOLLAND V
ANONIM ARCELIK SIRKETI
ASEA BOVERI BROWN
ASML NETHERLANDS
ASML HOLLAND
ASML HOLLAND
ASML HOLLAND
ASML NETHERLAND
ASML NETHERLAND
ASML NETHERLAND
ASML NETHERLAND
ASML NETHERLAND
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS V
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS V
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS V VELDHOVEN
ASML NETHERLANDS
ASML NETHERLANDS
ASML NETHERLANDS
ASML US
ASTRA
BAKER HUGHES
BASELL ITALA POLIOLEFINE
BASELL POLYOLEFINE
BASF SE
BAYER
ANTWERP BAYER
BAYER
BAYER
BAYER
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMERIEUX
BIOMARIEUX
BIOMERIEUX BOXTEL V
BOSCH ROBERT
DER LELY VAN
DER LELY VAN
DER LELY VAN
DER LELY VAN
DER LELY VAN
DER LELY VAN
DER LELY VAN
DER LELY VAN
DER LELY VAN
DER LELY VAN
DER LELY VAN
DER LELY MAASLAND V VAN
DER LELY V VAN
LELY VANDER
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA
CANON EUROPA NAAMLOOZE VENNOOTSCHAP
CARGILL
CARGILL
CARGILL
CARGILL
CARGILL
CARGILL
CARGILL V
CARGILL
CARGILL
CARGILL
CARGILL
CARGILL
CARGILL
CARGILL
BERGEN CARGILL OP V ZOOM
BERGEN CARGILL OP V
CARGILL
CARLZEISS SMT
CHIRON
CHIRON
CHIRON
CHIRON
ASSETAB IP
""
""
""
SM
CHEM DOW
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM ESSETAB
ASSESTS DSM IP
ASSESTS DSM IP
ASSESTS DSM IP
ASSESTS DSM IP
ASSESTS DSM IP
ASSESTS DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB IP
ASSETAB DSM
ASSETAB DSM
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP V
ASSETAB DSM IP V
ASSETAB DSM IP V
ASSETAB DSM IP V
ASSETAB DSM IP V
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP V
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM HEERLEN IP V
ASSETAB DSM HEERLEN IP TE V
ASSETAB DSM IP
ASSETAB DSM IP
ASSETAB DSM IP
DSM ESSETAB
DSM ESSETAB IP
DSM
DSM
DSM
DSM
DSM
""
""
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM NV
DSM
DSM
DSM
DSM
DSM
DSM V
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM
DSM V
DSM V
DSM V
DSM V
DSM
DSM
DSM
DSM
DSM HEERLEN V
DSM HEERLEN
DSM V
DSM HEERLEN TE V
DSM HEERLEN TE
DSM HEERLEN TE
ASSETAB DSMIP
ASSETAB DSMIP
ASSETAB DSMIP
DE DU NEMOURS PONT
DE DU NEDERLAND NEMOURS PONT
DE DU NEDERLAND NEMOURS PONT
DE DU NEDERLAND NEMOURS PONT
DE DU NEDERLAND NEMOURS PONT
DE DU NEDERLAND NEMOURS PONT
EASTMAN KODAK
DE DU NEMOURS PONT
ATOCHEM ELF
ATOCHEM ELF VLISSINGEN
ATOCHEM ELF VLISSINGEN
ATOCHEM ELF VLISSINGEN
ATOCHEM ELF VLISSINGEN
ATOCHEM ELF VLISSINGEN
ATOCHEM ELF VLISSINGEN
EURO TRACTION
EURO TRACTION
EURO TRACTION
EURO TRACTION
EURO TRACTION
EURO TRACTION
EURO TRACTION
HOFFMAN LAROCHE
HOFFMANN LA ROCHE
HOFFMANN LA ROCHE
HOFFMANN LA ROCHE
AKTIENGES HOFFMANN LA ROCHE
HOFFMANN LA ROCHE
FERAG
FESTO
HOFFMANN LA ROCHE
ELEKTRONIKS FILIPS
FMC
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO
FILM FUJI PHOTO TILBURG V
GENENCOR INTERNAT
GENENCOR INTERNAT
ELECTRIC GEN
ELECTRIC GEN
ELECTRIC GEN
BROCADES GIST
BROCADES GIST
BROCADES GIST
BROCADES GIST
BROCADES GIST
BROCADES GIST
BROCADES GIST
BROCADES GIST
BROCADES GIST
BROCADES DELFT GIST
BROCADES GIST
BROCADES GIST
BROCADES GIST
